 ,DID,ID,Birth yr,Birthyrcat,Diet,yr,age,antler kg,bm kg,DaB,Lit5,Litstwtr,Litsm
S210045,A208035,A212002,2012,A,Standard,2013,1.5,-0.921303274,4.186176579,4,MF,TW,Multiple
S210045,A208011,A212004,2012,A,Low,2013,1.5,-2.603690186,3.720302343,4,MF,TW,Multiple
S209020,A209054,A212005,2012,A,Standard,2013,1.5,-0.853315933,3.980127461,3,MF,TW,Multiple
S210097,A209064,A212007,2012,A,Low,2013,1.5,-1.362577835,4.021627192,3,MM,TW,Multiple
S210097,A209064,A212008,2012,A,Standard,2013,1.5,-1.316768298,4.226722673,3,MM,TW,Multiple
S210039,A209018,A212011,2012,A,Low,2013,1.5,-1.771956842,3.720302343,3,MM,TW,Multiple
S210039,A209018,A212012,2012,A,Standard,2013,1.5,-0.767870727,3.909923202,3,MM,TW,Multiple
S210045,A209059,A212015,2012,A,Low,2013,1.5,-1.650259907,3.872881931,3,Md,TW,Multiple
S210097,A210008,A212016,2012,A,Standard,2013,1.5,-0.418550348,4.076977287,2,Md,TW,Multiple
S209020,A210086,A212018,2012,A,Low,2013,1.5,-1.924148657,3.963033028,2,M,S,Singleton
S209020,A207013,A212020,2012,A,Standard,2013,1.5,-0.243346259,4.213389143,5,Md,TW,Multiple
S209020,A208009,A212021,2012,A,Low,2013,1.5,-1.980501594,3.824563353,4,Md,TW,Multiple
S209020,A208025,A212027,2012,A,Low,2013,1.5,-1.010601411,4.053629923,4,M,S,Singleton
S209029,A209069,A212028,2012,A,Standard,2013,1.5,-1.496109227,3.853833736,3,MF,TW,Multiple
S210039,A208008,A212031,2012,A,Low,2013,1.5,-1.532476871,3.720302343,4,MF,TW,Multiple
S210045,A209063,A212033,2012,A,Standard,2013,1.5,-1.347073648,3.963033028,3,MF,TW,Multiple
S210097,A207051,A212038,2012,A,Low,2013,1.5,-2.040220829,3.882271671,5,MF,TW,Multiple
S210097,A207005,A212039,2012,A,Standard,2013,1.5,-0.709276562,4.107282637,5,MM,TW,Multiple
S210097,A207005,A212040,2012,A,Low,2013,1.5,-1.224175512,3.945641285,5,MM,TW,Multiple
S210097,A210034,A212042,2012,A,Standard,2013,1.5,-1.217395825,3.954374965,2,MF,TW,Multiple
S210097,A209047,A212043,2012,A,Low,2013,1.5,-0.88673193,4.122097722,3,Md,TW,Multiple
S209029,A208036,A212048,2012,A,Standard,2013,1.5,-1.354795694,3.853833736,4,MF,TW,Multiple
S210097,A207026,A212051,2012,A,Low,2013,1.5,-3.170085661,3.804562687,5,MM,TW,Multiple
S210045,A207029,A212053,2012,A,Standard,2013,1.5,-1.090644119,3.980127461,5,M3,TR,Multiple
S210039,A210003,A212057,2012,A,Standard,2013,1.5,-0.750776293,4.013463881,2,M,S,Singleton
S210097,A209016,A212058,2012,A,Low,2013,1.5,-2.688247574,3.675350955,3,MF,TW,Multiple
S209029,A210076,A212065,2012,A,Low,2013,1.5,-2.343407088,3.731231414,2,M,S,Singleton
S209029,A210010,A212069,2012,A,Standard,2013,1.5,-1.197328262,3.863403187,2,MF,TW,Multiple
S209020,A210074,A212073,2012,A,Low,2013,1.5,-2.3227878,3.936830655,2,MM,TW,Multiple
S209020,A210074,A212074,2012,A,Standard,2013,1.5,-1.044124103,4.037756574,2,MM,TW,Multiple
S210045,A210068,A212080,2012,A,Low,2013,1.5,-1.10262031,3.954374965,2,M,S,Singleton
S210039,A210067,A212082,2012,A,Standard,2013,1.5,-1.599487582,3.882271671,2,MF,TW,Multiple
S209029,A210036,A212083,2012,A,Low,2013,1.5,-2.407945609,3.591469471,2,MM,TW,Multiple
S210097,A210013,A212086,2012,A,Standard,2013,1.5,-1.63989712,3.863403187,2,Md,TW,Multiple
S210097,A210103,A212087,2012,A,Low,2013,1.5,-3.575550769,3.804562687,2,M,S,Singleton
S210045,A209026,A212088,2012,A,Standard,2013,1.5,-1.231001477,4.076977287,3,Md,TW,Multiple
S210039,A208014,A212095,2012,A,Low,2013,1.5,-6.502290171,3.578890689,4,M,S,Singleton
S209029,A210066,A212101,2012,A,Low,2013,1.5,-1.937941979,3.794410315,2,MF,TW,Multiple
S207706,A210082,A212106,2012,A,Low,2013,1.5,-6.725433722,3.628283444,2,M,S,Singleton
S209029,A210094,A212108,2012,A,Standard,2013,1.5,-1.496109227,3.909923202,2,M,S,Singleton
S209009,A211091,A213002,2013,B,Standard,2014,1.5,-1.224175512,4.220078131,2,MF,TW,Multiple
S209020,A209069,A213004,2013,B,Low,2014,1.5,-1.514127733,3.794410315,4,M3,TR,Multiple
S209020,A209069,A213005,2013,B,Standard,2014,1.5,-1.049822124,3.853833736,4,M3,TR,Multiple
S209025,A210010,A213009,2013,B,Standard,2014,1.5,-1.061316504,3.918973038,3,MF,TW,Multiple
S209009,A210033,A213011,2013,B,Low,2014,1.5,-1.937941979,3.686779651,3,MF,TW,Multiple
S209020,A209054,A213014,2013,B,Low,2014,1.5,-1.589635285,3.804562687,4,Md,TW,Multiple
