SID,DID,ID,Birthyr,Birthyrcat,Diet,yr,age,antler kg,bm kg
S210060,D208009,A214106,2014,C,L,2015,1.5,-4.268697949,3.352577563
S209025,D209026,A213053,2013,B,L,2014,1.5,-3.575550769,3.399097579
S210089,D211008,A214150,2014,C,L,2015,1.5,-5.11599581,3.472122714
S212011,D212006,A216038,2016,D,L,2018,2.5,-0.356817811,3.486108956
S212040,D212001,A216032,2016,D,L,2017,1.5,-3.942482213,3.506728243
S210060,D211043,A214046,2014,C,L,2015,1.5,-4.828313737,3.553248258
S210089,D211008,A214150,2014,C,L,2016,2.5,-2.453407983,3.566151663
S210039,D208014,A212095,2012,A,L,2013,1.5,-6.502290171,3.578890689
S209045,D211039,A213156,2013,B,L,2014,1.5,-4.605170186,3.578890689
S209058,D210094,A213062,2013,B,L,2014,1.5,-3.036554268,3.578890689
S209025,D210076,A213150,2013,B,L,2014,1.5,-2.343407088,3.578890689
S209029,D210036,A212083,2012,A,L,2013,1.5,-2.407945609,3.591469471
S210089,D211029,A214116,2014,C,L,2015,1.5,-2.055725015,3.603891991
S210060,D210094,A214153,2014,C,L,2015,1.5,-4.828313737,3.616162084
S207706,D210082,A212106,2012,A,L,2013,1.5,-6.725433722,3.628283444
S209058,D211015,A213117,2013,B,S,2014,1.5,-3.218875825,3.628283444
S209009,D210033,A213011,2013,B,L,2015,2.5,-0.415515444,3.628283444
S210060,D210104,A214029,2014,C,S,2016,2.5,-0.400477567,3.628283444
S212040,D212001,A216031,2016,D,L,2017,1.5,-3.952845,3.635486357
S209007,D211201,A213056,2013,B,L,2014,1.5,-1.760260802,3.640259635
S210045,D210057,A214031,2014,C,L,2015,1.5,-3.036554268,3.663790133
S210069,D211009,A214052,2014,C,L,2015,1.5,-1.980501594,3.663790133
S210089,D211052,A214091,2014,C,L,2017,3.5,-1.129174594,3.673049458
S210097,D209016,A212058,2012,A,L,2013,1.5,-2.688247574,3.675350955
S210069,D210064,A214069,2014,C,L,2015,1.5,-2.207274913,3.675350955
S210089,D211052,A214091,2014,C,L,2015,1.5,-2.137070655,3.675350955
S210089,D211029,A214116,2014,C,L,2016,2.5,-2.087473713,3.675350955
S209025,D211130,A213152,2013,B,S,2014,1.5,-1.995100393,3.675350955
S210015,D211015,A214079,2014,C,L,2015,1.5,-1.966112856,3.675350955
S209058,D211006,A213158,2013,B,L,2014,1.5,-3.816712826,3.686779651
S209007,D208014,A213161,2013,B,L,2014,1.5,-3.729701449,3.686779651
S209009,D210033,A213011,2013,B,L,2014,1.5,-1.937941979,3.686779651
S207706,D210082,A212106,2012,A,L,2014,2.5,-1.339410775,3.686779651
S210089,D211029,A214116,2014,C,L,2019,5.5,-0.743598724,3.691314806
S209045,D211017,A213092,2013,B,L,2014,1.5,-2.918771232,3.698079206
S212040,D212064,A216005,2016,D,L,2017,1.5,-2.371935171,3.700323876
S212011,D212006,A216038,2016,D,L,2017,1.5,-2.010662026,3.707027812
S210089,D210103,A214055,2014,C,L,2015,1.5,-2.040220829,3.709252507
S210045,D208011,A212004,2012,A,L,2013,1.5,-2.603690186,3.720302343
S209058,D211015,A213111,2013,B,L,2014,1.5,-2.407945609,3.720302343
S210045,D210082,A214130,2014,C,L,2015,1.5,-1.897119985,3.720302343
S210039,D209018,A212011,2012,A,L,2013,1.5,-1.771956842,3.720302343
S210039,D208008,A212031,2012,A,L,2013,1.5,-1.532476871,3.720302343
S209029,D210076,A212065,2012,A,L,2013,1.5,-2.343407088,3.731231414
S210069,D211065,A214016,2014,C,S,2015,1.5,-1.378326191,3.731231414
S212012,D212105,A216073,2016,D,S,2017,1.5,-1.888490658,3.739889476
S210015,D209015,A214127,2014,C,L,2015,1.5,-2.63108916,3.752737619
